end,use_time,slon,slat,match_name,lon,lat
哈尔滨,03小时05分钟,114.310176,30.590076,黑龙江省哈尔滨市,126.52900996557615,45.80099935600745
乌鲁木齐,04小时45分钟,114.310176,30.590076,新疆维吾尔自治区乌鲁木齐市,87.61397403729367,43.824171459621404
重庆,01小时50分钟,114.310176,30.590076,重庆市,106.54676332042845,29.566553244633337
沈阳,02小时40分钟,114.310176,30.590076,辽宁省沈阳市,123.45863090829103,41.675224005527134
潮汕,01小时55分钟,114.310176,30.590076,广东省茂名市电白区潮汕(清源湾商业步行街店),111.29031641594611,21.517642834601283
惠州,01小时35分钟,114.310176,30.590076,广东省惠州市,114.41061854702455,23.114865317101106
乌鲁木齐,04小时55分钟,114.310176,30.590076,新疆维吾尔自治区乌鲁木齐市,87.61397403729367,43.824171459621404
丽江,02小时40分钟,114.310176,30.590076,云南省丽江市,100.22480263813961,26.858710381122
深圳,02小时25分钟,114.310176,30.590076,广东省深圳市,114.05282492812273,22.54624408786885
贵阳,03小时35分钟,114.310176,30.590076,贵州省贵阳市,106.62463609556339,26.65036573297856
沈阳,02小时45分钟,114.310176,30.590076,辽宁省沈阳市,123.45863090829103,41.675224005527134
南宁,02小时10分钟,114.310176,30.590076,广西壮族自治区南宁市,108.36233557216124,22.820386111708903
银川,02小时15分钟,114.310176,30.590076,宁夏回族自治区银川市,106.22657808588562,38.48732343474717
大连,02小时30分钟,114.310176,30.590076,辽宁省大连市,121.60984265800761,38.913184694859616
烟台,02小时00分钟,114.310176,30.590076,山东省烟台市,121.4425478061541,37.4635796906365
呼和浩特,02小时10分钟,114.310176,30.590076,内蒙古自治区呼和浩特市,111.74189606013923,40.840680164379705
成都天府,02小时00分钟,114.310176,30.590076,四川省成都市天府,104.05956185955627,30.54989873855247
大连,02小时10分钟,114.310176,30.590076,辽宁省大连市,121.60984265800761,38.913184694859616
昆明,02小时45分钟,114.310176,30.590076,云南省昆明市,102.83225390018312,24.884560505120767
泉州,01小时50分钟,114.310176,30.590076,福建省泉州市,118.67117718480827,24.87736027375492
福州,01小时30分钟,114.310176,30.590076,福建省福州市,119.2916113725977,26.077388015749776
青岛,02小时25分钟,114.310176,30.590076,山东省青岛市,120.3775319120476,36.06666175631177
哈尔滨,02小时55分钟,114.310176,30.590076,黑龙江省哈尔滨市,126.52900996557615,45.80099935600745
济南,01小时35分钟,114.310176,30.590076,山东省济南市,117.11400007864786,36.65163870613015
广州,02小时05分钟,114.310176,30.590076,广东省广州市,113.25916927705671,23.13273721925823
大连,02小时05分钟,114.310176,30.590076,辽宁省大连市,121.60984265800761,38.913184694859616
杭州,01小时15分钟,114.310176,30.590076,浙江省杭州市,120.20625703859051,30.24845422387178
